Provider,Product,Version,EOS Date,Reference
IBM,Rational PurifyPlus for Windows,7.0.x,2021-06-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=Rational+PurifyPlus+for+Windows&ibm-search=Search
IBM,SPSS Statistics Developer,23.0.x,2020-04-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=SPSS+Statistics+Developer&ibm-search=Search
IBM,Watson Content Analytics,3.5.x,2019-09-30,https://www-01.ibm.com/software/support/lifecycleapp/PLCSearch.wss?q=Watson+Content+Analytics&ibm-search=Search
Linux Foundation,Kernel,3.16,2020-04-30,https://www.kernel.org/category/releases.html
MariaDB Foundation,MariaDB,5.5.x,2020-04-11,https://mariadb.org/about/maintenance-policy/
MariaDB Foundation,MariaDB,10.1.x,2020-10-17,https://mariadb.org/about/maintenance-policy/
McAfee,Content Security Suite,All,2020-01-12,https://www.mcafee.com/enterprise/en-us/support/product-eol.html
McAfee,Email Gateway,7.6.4.X,2021-01-11,https://www.mcafee.com/enterprise/en-us/support/product-eol.html
McAfee,Quarantine Manager,7.1.0,2021-01-11,https://www.mcafee.com/enterprise/en-us/support/product-eol.html
McAfee,"SaaS Email Protection, Continuity, Encryption and Archiving",All,2021-01-11,https://www.mcafee.com/enterprise/en-us/support/product-eol.html
MediaWiki,MediaWiki,1.32.X,2020-01-01,https://www.mediawiki.org/wiki/Version_lifecycle
MediaWiki,MediaWiki,1.31.X,2021-06-01,https://www.mediawiki.org/wiki/Version_lifecycle
Microsoft,Access,2010,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Access,2016,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Access Services in Microsoft SharePoint Server,2010,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Azure StorSimple Series,8000,2020-07-01,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Cloud Platform System,,2020-04-14,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Cloud Platform System Standard,,2020-04-14,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Dynamics C5,2015,2020-01-14,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Dynamics CRM,2015,2020-01-14,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Dynamics GP,2015,2020-04-14,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Dynamics GP,2015 R2,2020-04-14,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Dynamics GP,2010,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Dynamics NAV,2009 R2,2015-01-13,https://support.microsoft.com/en-us/lifecycle/search?alpha=dynamics%20nav
Microsoft,Dynamics NAV,2015,2020-01-14,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Dynamics SL,2015,2020-01-14,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Excel,2010,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Excel,2016,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Excel for Mac,2016,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Excel Home and Student,2010,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Excel Services in Microsoft SharePoint Server,2010,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Exchange,2010,2020-01-14,https://support.microsoft.com/en-us/lifecycle/search?alpha=exchange
Microsoft,Exchange,2016,2020-10-13,https://support.microsoft.com/en-us/lifecycle/search?alpha=exchange%202016
Microsoft,Expression Blend,3,2015-01-13,https://support.microsoft.com/en-us/lifecycle/search?alpha=expression%20blend
Microsoft,Expression Design,3,2015-01-13,https://support.microsoft.com/en-us/lifecycle/search?alpha=expression%20design
Microsoft,Expression Encoder,3,2015-01-13,https://support.microsoft.com/en-us/lifecycle/search?alpha=expression%20encoder
Microsoft,Expression Encoder,4,2020-09-08,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Expression Studio,3,2015-01-13,https://support.microsoft.com/en-us/lifecycle/search?alpha=expression%20studio
Microsoft,Expression Web,3,2015-01-13,https://support.microsoft.com/en-us/lifecycle/search?alpha=expression%20web
Microsoft,Expression Web,4,2020-09-08,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,FAST Search Server for Internal Applications,2010,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,FAST Search Server for Internet Sites,2010,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,FAST Search Server for SharePoint,2010,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Forefront Threat Management Gateway,2010 Enterprise,2020-04-14,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Forefront Unified Access Gateway,2010,2020-04-14,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,Groove Server,2010,2020-10-13,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
Microsoft,HCP Pack,2008,2020-04-14,https://support.microsoft.com/en-us/help/4470235/products-reaching-end-of-support-for-2020
